count,transcriptConsumer,classification,category,labels,transcriptConsumer_en,label,score
2,"שלום
לא",0.0,not relevant,0,"Hello
No",not relevant,0.8799072504043579
3,"כן
היי
בסדר",0.0,not relevant,0,"Yes
Hey
OK",not relevant,0.8687916398048401
365,"הי
איך זה אמור לעבוד? אני יכולה פשוט לכתוב?
לפעמים אני מרגישה שזה פשוט דופק אותי כל אחד הוא אם כוונות מיניות אכפת לאנשים רק מהגוף שלי זה נורמלי לחשוב ככה? זה נורמלי לחסום כל גבר או לא לדבר אם אף אחד כי בסוף כולם יפגעו בך זה נורמלי,  מה אפשר לעשות עם זה 
אין לי כוח לזה אני מרגישה שאני לא בסדר שהכל דפוק איתי אני מנסה לנסות את החשיבה שלי על המציאות אבל אני לא מצליחה כל משהו הכי קטן שאני רואה אני רואה את זה כאילו הכל חוזר להתחלה כולם יעשו את אותו הדבר יש דרך להתמודד עם זה?
כן
זה אפשר בכלל לשנות את התפיסה שלי? זה משהו שהגיוני בכלל
איך אפשר לצאת ממנו
אני לא מצליחה לחשוב בכלל
כל פעם שאני מנסה לחשוב בהיגיון או לא להגיד לא כולם ככה אני לא יכולה
אולי יש טיפה של טוב בעולם הזה
זה בא ואומר לי לא ומשחזר לי את הכל
איפה יש אור
ואם יש אז מכבים אותו
התקווה לחיים לחשוב שיש כזה דבר טוב שלאנשים באמת אכפת ממני ולא מהגוף שלי
שהרוח עולה על התאווה
להיות עצמי זה באמת משנה, בכלל מסתכלים על זה, או שחושבים על איך להרוס את החיים שלי להרוס את העתיד שלי
התאווה שלהם יותר חשובה מהכל יותר אפילו מהחיים עצמם
קודם שלי היה אכפת מעצמי בכלל
אני פשוט מפגרת אני מביאה דברים על עצמי
אם לי לא אכפת אם אני לא שומעת לעצמי למה שאחרים כן
אם בכלל אכפת
שאני לא שומעת להגיון
אני לא חושבת בכלל אני לא עושה כלום אני מרגישה שאני פשוט שוקעת בדיכאון של עצמי
מצחיק
הכל
אני מרגישה פסיכופטית
אולי זה מה שאני
כן
הכל
אני מרגישה שהראש שלי לא בסדר
ההתנהגות שלי לפעמים אני צועקת או מדברת יותר מדי
אני מתעצבנת ואז אני יכולה לפעמים לשבור משהו אם אני ממש עצבנית
פסיכופטית
כל הזמן קשה לי
איך זה הגיוני בכלל
איך אפשר לצאת מזה
מדיכאון
להדחיק
לזמן שאני מדחיקה
זה לא
אני מרגישה שאני לא יכולה כבר
כמעט כל הזמן או לפחות כל ים אני בהתקף חרדה
בא לי פשוט לצעוק
לשחרר אבל אני מצליחה
אני רגילה לזה
אני לא מצליחה לצעוק
כן
אני רועדת
ויש לי טיקים
מתרגלים
תודה לך עזרת לי אבל לשלרר
לשחרר*
יותר
תודה רבה",1.0,Emotional Assistance,1,"Hi
How is it supposed to work? can i just write
Sometimes I feel like it's just knocking me out everyone is if sexual intentions people only care about my body is it normal to think like that? It's normal to block every man or not talk to anyone because in the end everyone will hurt you, it's normal, what can be done about it
I don't have the strength for it I feel like I'm wrong everything is screwed up with me I'm trying to try my thinking on reality but I can't succeed every little thing I see I see it as if everything is back to the beginning everyone will do the same is there a way to deal with it?
Yes
Is it even possible to change my perception? This is something that makes sense at all
How can you get out of it?
I can't think at all
Every time I try to think Logic or not, I can't say no to everyone like that
Maybe there is some good in this world
It comes and tells me no and restores everything to me
where there is light
And if there is, then turn it off
The hope of life to think that there is such a good thing that people really care about me and not about my body
that the spirit overcomes lust
Being myself really matters, do you even look at it, or think about how to ruin my life and ruin my future
Their lust is more important than anything, even life itself
Before mine didn't care about myself at all
I'm just retarded, I bring things about myself
If I don't care if I don't listen to myself why others do
If you even care
I don't listen to logic
I don't think at all, I don't do anything, I feel like I'm just sinking in my own depression
is funny
Everything
I feel psychopathic
Maybe that's who I am
Yes
Everything
I feel like my head is wrong
My behavior sometimes I shout or talk too much
I get angry and then I can sometimes break something if I'm really angry
psychopathic
It's hard for me all the time
How does that even make sense
How can you get out of this?
from depression
repress
For the time I'm repressing
It is not
I feel like I can't anymore
Almost all the time or at least every sea I am in an anxiety attack
I just want to scream
to release but I succeed
I'm used to it
I can't shout
Yes
I'm shaking
And I have tics
getting used to
Thank you, you helped me, but I was confused
release*
More
Thank you",,
347,"היי
לא טטב לי
טוב
קשה לי רע לי
חזרו לי הטיקים
כן
הכל נסגר עלי
הכל אני רואה הכל שחור
כן
אני לא מצליחה לראות או לשאוף לטיפת אור
כן
כן הרבה זמן לא הייתי שם
וזה חזר לי כמו כדור שלג ענק
שהמצב הנפשי שלי גרוע ביותר
בתקופה האחרונה
אתמול והיום זה ממש אבל ממש קיצוני
כן
יש כמה דברים
אחד זה הפגיעה 
2 זה המשפחה שלי 
3 זה המצב הכלכלי
ו4 זה שאמרו לי שסגרו את התיק
כן
וכל זה אני לבד
כי אין לי אף אחד
לא וגם לא יהיה
שלא יהייה לי אף אחד שאני יוכלה לסמוך עליו
אף אחד לא מוכן גם לעזור לי
לא אכפת לי כבר
כל החיים שלי הייתי לבד כל החיעם שלי אני ישאר לבד
נולדתי בסבל ימוות בסבל
כן
את לא רוצה לדעת לאיזה מצב הגעתי
את יודעת מה אני הכי רוצה 
אבל אני יודעת שזה לא אפשרי לא בתקופה הזאת ולא אלה
חיבוק חזק חם ואוהב 
אבל זה לא עוזר לי זה יכול רק לישאר בזה שאני הכי רוצה והכי בא לי
לא היה לי את זה אף פעם וגם לא יהייה לי
לא אל תגידי לי את זה
זה עושה לי עצבים בגוף
סליחה
בסדר
לא יודעת
אני נמצאת במצב לא טוב בכלל
שחזרו לי הטיקים 
והמחשבות שיש לי 
ההרס העצמי 
והכל ביחד 
פשוט כבר אין לי כוח לרשום כל מה שאני מרגישה על עצמי
הכי מפחיד אותי זה הטיקים והמחשבה הקבועה שרצה לי בראש ורודפת אותי
לא כלום לא עוזר
לקחתי כדור וגם טיפות וזה לא עוזר
הראש שלי לא מרוכז בכלל לראות טלויזיה
כן
יותר מזה שאתמול הגעתי למצב שרציתי לאשפז את עצמי אבל לא יכלתי לעשות את זה לבד
שתיה הרבה שתיה חריפה
לא אני יודעת שזה יעשה לי יותר גרוע אבל נראה לי שלא תיהיה לי בררה
לא הבנתי
לא
כן
יש משהו אבל אני לא יכולה לספר אותו כי אני מפחדת
לא
לא מפחיד אותי רק לספר את זה
מה זאת אומרת
עדיף לא לדעת
לא
יש משהו אחד 
וזה מה שאוכל לי את הראש 
אבל אני מפחדת מזה
כן
זה לא לעוד הרבה זמן
זה תשאירי לי
ביי",1.0,Emotional Assistance,1,"Hey
I didn't like it
Good
It's hard for me, I feel bad
My tics are back
Yes
Everything closed on me
Everything I see is black
Yes
I can't see or strive for a drop of light
Yes
Yes, I haven't been there in a long time
And it came back to me like a huge snowball
that my mental state is extremely bad
lately
Yesterday and today it's really, really extreme
Yes
There are a few things
One is the injury
2 This is my family
3 This is the economic situation
And 4 is that they told me that the case was closed
Yes
And all this is me alone
Because I don't have anyone
No and will not be
That I won't have anyone I can trust
No one is willing to help me either
I don't care anymore
All my life I've been alone All my life I'll be alone
I was born in suffering and will die in suffering
Yes
You don't want to know what state I got into
You know what i want most
But I know that it is not possible neither in this period nor in these
A warm and loving hug
But it doesn't help me, it can only remain in what I want and feel like the most
I never had it and never will
no don't tell me that
It makes me nervous
Sorry
OK
Do not know
I am not in a good state at all
I got my tics back
And the thoughts I have
Self-destruction
And all together
I just don't have the strength to write down everything I feel about myself
What scares me the most is the tics and the constant thought that runs through my head and haunts me
No, nothing helps
I took a pill and drops and it doesn't help
My head is not focused at all to watch TV
Yes
More than that yesterday I got to the point where I wanted to hospitalize myself but I didn't My daughter-in-law did it alone
Drink a lot of strong drink
No, I know it will make me worse, but I don't think I will have a choice
I did not understand
No
Yes
There is something but I can't tell it because I'm afraid
No
It doesn't scare me just to tell it
What do you mean
It's better not to know
No
There is one thing
And that's what blows my mind
But I'm afraid of it
Yes
It's not for much longer
Leave that to me
Bye",Emotional Assistance,0.6588099598884583
135,"הייי
תודה
חרא לי מאוד
בדיוק
החיים שלי מסובכים מאוד אחרייי האונס שעברתי
התחילו לי הפרעות אכילה במשך שבע שנים
וקשה לי עם זנ
פיתחתי הפרעות אכילה ברמה קשה
מלפני שנה וחצי כמעט מתתי
עכשיו אני במצב יותר טוב מבחינה גם משקלית וגם אכילה
אבל תמיד באלי להעלם
אבל הנפש שלי קורסת
ואני שוב בהדרדרות קלה
אני מדברת על התקופה האחרונה שהיה לי יותר טוב עם האוכל והמשקל ועכשיו שוב התחלתי לצמצם ולרדת קצת במשקל אני עדיין במשקל תקין... אבלל זה לא באמת מחלה רק של משקל והנפש שלי קורסת כי הטראומה שלי מאוד מוצפת
בדיוק
הפוסט טראןמה שלי נורא פעילה לאחרונה
כן
סליחה שנעלמצי אני כאן
סתם היה משהו שהציף את זה שקשה לי לדבר עליו
נכון
גם עם המטפלות שלי זה קשה
גם נכון
אני פשוט גם לא כלכך מרגישה טוב פיזית עכשיו",1.0,Emotional Assistance,1,"hey
Thanks
I'm very sorry
exactly
My life is very complicated after the rape I went through
I started eating disorders for seven years
And I have a hard time with Zen
I developed a severe eating disorder
Since a year and a half ago I almost died
Now I am in a better condition both in terms of weight and eating
But I always want to disappear
But my mind is collapsing
And I'm in a slight decline again
I'm talking about the last period when I was better with food and weight and now I've started to cut down again and lose a little weight. I'm still at a normal weight... but it's not really a disease just of weight and my mind is collapsing because my trauma is very overwhelming
exactly
My PTSD has been very active lately
Yes
Sorry to be gone, I'm here
There was just something that overwhelmed it that was hard for me to talk about
disabled n
Even with my nannies it's hard
Also true
I just don't feel that good physically right now either",not relevant,0.4687691628932953
9,הי תודה הצלחתי להשיג אותם ב 1203 בלי הכוכבית ,0.0,not relevant,0,"Hi thanks, I was able to get them in 1203 without the asterisk",not relevant,0.7833775281906128
14,"היי
לא משנה
מישהו פה
לא עונים בטלפון
היי עזרו לי 
תודה בינתיים
תודה",0.0,not relevant,0,"Hey
Does not matter
Is anyone here
They don't answer the phone
hey help me
Thanks in the meantime
Thanks",not relevant,0.8049243092536926
0,"

",0.0,not relevant,0,Translation failed,not relevant,0.7124635577201843
507,"היי
אני רוצה בבקשה סיוע
כן
היי
אני יכולה לשלוח את הסיפור?
אני רוצה לשתף משהו שכואב לי - זה ארוך..
אזהרת טריגר - הטרדה מינית
אני אתחיל בהצהרה - אני לא אוהבת שנוגעים בי בלי רשות, לא משנה באיזה קטע. זה מכווץ אותי.
הייתי אתמול בישיבה ואחת מהעובדות במשרד הזיזה לי את החצאית כי זה חשוף מידי וזה לא נעים ויש כאן אנשים. הסתכלתי עליה בwtf ואמרתי לה שזה ממש לא בסדר ואם יש משהו כזה שתגיד לי ולא פשוט תיגע בי. אני מבינה שהיא חושבת שזה לטובתי אבל הרגשתי איך זה מדכא אותי. מסתיר אותי. מקטין ומקווץ אותי.
הנחיתות של ימי ראשון במשרד תמיד קשות לי. ביחוד אחרי אירועים בהם אני מרגישה הכי משוחררת (דוגמאת הליאנקאה בשישי).
אבל זה ממש הוריד אותי, הנחית אותי למציאות בה הירך שלי עושה רע לאנשים.
וזה כלכך כאב לי.
כל מה שרציתי לעשוץ זה ללכת הביתה ולהיכנס למיטה ולעשן פייסל ולהדחיק.
אבל החלטתי ללכת לים, לחוף ריק ולהיכנס ערומה למים. ולנכס לעצמי מחדש את הגוף שלי.
ואחרי שבאמת ככה היה, וחזרתי לעצמי, ורקדתי וצחקתי וצעקתי ושרתי. הגיע מישהו לחוף (רצועת חוף של קילומטר בערך ואני הייתי היחידה שם) התיישב ליד הדברים שלי כשאני הייתי במים, התפשט ונכנס גם.
עד כה הכל סבבה, זכותו, ועירום זה טיבעי.
הוא הציע הצעה מינית ואמרתי לו מאוד בכבוד שאני לא העיניין ושיתפוס ממני קצת מרחק. 
הרגשתי לא בנוח והבטן שלי אמרה לי לכי אז לקחתי את הדברים שלי ויצאתי בחזרה לחוף (הליכה של חצי שעה על סלעים והריסות, לא מקום סימפטי להיות בו בלחץ) ואז הוא התחיל ללכת אחרי. 
עצרתי במרחק ממנו כדי לתת לו לעבור ושלא ילך אחרי (כבר התחיל להחשיך).
הוא ניגש אלי שוב , אחרי שכבר סירבתי לו, והציע שוב את אותן הצעות. אמרתי לו כבר ביותר תקיפות שיתרק ממני ושאני לא מעוניינת ןהנוכחות שלו לא עושה לי טוב, הוא ניסה להמשיך לדבר ופשוט צעקתי עליו שיעזוב אותי.
הוא התחיל ללכת, חיכיתי שיתרחק (הדרך חזרה מסוכנת ובלי שדה ראיה רחב)
התחלתי ללכת, אחרי כמה דקות אני רואה אותו 3 מטר ממני, הולך ליכיווני.
ומנסה שוב.
בשלב זה כבר התעלמתי ממנו, לא הסתכלתי עליו ולא עניתי לו. ואז הוא אמר משפט שלחץ לי בנקודע רגישה סליחה שנולדתי שחור ובתור אדם שמאמין בשוויון לא יכולתי לשתוק ואמרתי לו שזה ממש ממש לא קשור לצבע העור שלו. זה בגלל שהוא מטריד אותי, ולא עוזב אותי ושאם הוא היה לבן הייתי מפחדת באותה המידה. הסתובבתי והתחלתי להגביר קצב. הולכת ממש מהר על סלעים לא יציבים שצריך להקדיש תשומת לב לכל צעד. הוא צעק לי מילות חיבה ושוב התחיל ללכת אחרי. פה כבר פתחתי בריצה. באתי לחוף האהוב עלי, להשתחרר. ומצאתי את עצמי רצה בוכה וחוששת. עם כאב בטן מחרדה על סף התקף. רצתי את כל החוף עד לרכב וגם עכשיו, שעבר לילה. אני עדיין בחרדה. מרגישה שלא משנה מה אני אעשה אני אצא מפסידה, מושפלת, קטנה.
הלכתי היום לחוף אחר עם הרבה אנשים, ועדיין הרגשתי ממש ברע
איך להתמודד? מה לעשות עם החרדה?
כן, זה קרה אתמול
הים היה המקום הבטוח שלי, המקום שהייתי מגיעה אליו כל יום בשביל הכל, לצחוק לבכות הכל
יש המלצה לאיך אני הופכת את זה חזרה למקום נעים?
תודה",1.0,Emotional Assistance,1,"Hey
I would like assistance please
Yes
Hey
Can I send the story?
I want to share something that hurts me - it's long..
Trigger warning - sexual harassment
I'll start with a statement - I don't like being touched without permission, no matter what. It shrinks me.
I was in a yeshiva yesterday and one of the workers in the office moved my skirt because it's too exposed and it's not pleasant and there are people here. I looked at her wtf and told her that this is really wrong and if there is something like that you should tell me and not just touch me. I understand that she thinks it's for my benefit, but I felt how it depressed me. hiding me Reduces and shrinks me.
Sunday landings at the office are always difficult for me. Especially after events where I feel the most liberated (for example, the Lianekaa on Friday ).
But it really brought me down, landed me in a reality where my hip hurts people.
And it hurt me so much.
All I wanted to do was go home and get into bed and smoke Faisal and suppress.
But I decided to go to the sea, to an empty beach and enter the water naked. and re-appropriate my body.
And after it really was like that, and I came back to myself, and danced and laughed and shouted and sang. Someone came to the beach (a stretch of beach of about a kilometer and I was the only one there) sat down next to my things when I was in the water, undressed and went in too.
So far everything is fine, his right, and nudity is normal.
He made a sexual proposal and I told him very respectfully that I was not interested and that he would keep some distance from me.
I felt uncomfortable and my stomach told me to go so I took the things that Lee and I went back to the beach (a half hour walk on rocks and rubble, not a sympathetic place to be under pressure) and then he started following me.
I stopped at a distance from him to let him pass and not follow me (it was already getting dark).
He approached me again, after I had already refused him, and offered the same offers again. I already told him very firmly to get rid of me and that I am not interested, that his presence does me no good, he tried to continue talking and I simply shouted at him to leave me.
He started walking, I waited for him to move away (the way back is dangerous and without a wide field of vision)
I started walking, after a few minutes I see him 3 meters from me, walking in my direction.
and tries again.
At this point I was already ignoring him, I didn't look at him and I didn't answer him. Then he said a sentence that hit me in a sensitive spot sorry that I was born black and as a person who believes in equality I couldn't keep quiet and I told him that it really, really had nothing to do with the color of his skin. It's because he bothers me, and won't leave me, and if he was white I would be just as scared. I turned around and started to pick up the pace. Walking really fast on unstable rocks you have to pay attention to every step. He shouted affectionate words to me and started following me again. Here I already started running. I came to my favorite beach, to let loose. And I found myself running around crying and afraid. With a stomach ache from anxiety on the verge of an attack. I ran the whole beach to the car and even now, after night. I'm still anxious. I feel that no matter what I do, I will come out a loser, humiliated, small.
I went to another beach today with the Many people, and I still felt really bad
how to manage? What to do with the anxiety?
Yes, it happened yesterday
The sea was my safe place, the place I would come to every day for everything, to laugh and cry everything
Any recommendations for how I can make it back to a pleasant place?
Thanks",,
53,"הי כבר 3 ימים יש שם הודעה הלקוח אינו יכול לקבל את שיחתך. זו לא הודעה של הקו תפוס. איך עוד אפשר ליצור קשר לקבלת סיוע??
כן
הי כבר 3 ימים יש שם הודעה הלקוח אינו יכול לקבל את שיחתך. זו לא הודעה של הקו תפוס. איך עוד אפשר ליצור קשר לקבלת סיוע??",0.0,not relevant,0,"Hi, for 3 days there is a message that the customer cannot receive your call. This is not a busy line message. How else can I contact you for assistance??
Yes
Hi, for 3 days there is a message that the customer cannot receive your call. This is not a busy line message. How else can I contact you for assistance??",not relevant,0.8238885998725891
